no_below,no_above,idf,bool,norm,alpha,score
2,0.1,True,False,None,0.001,0.666212260936
2,0.1,True,False,None,0.01,0.674976804228
2,0.1,True,False,None,0.1,0.688428507469
2,0.1,True,False,None,1.0,0.706592770287
2,0.1,True,False,None,10.0,0.735270948215
2,0.1,True,False,l2,0.001,0.69578858453
2,0.1,True,False,l2,0.01,0.715349859568
2,0.1,True,False,l2,0.1,0.740984957758
2,0.1,True,False,l2,1.0,0.768262586377
2,0.1,True,False,l2,10.0,0.773473407748
2,0.1,False,False,None,0.001,0.699375557538
2,0.1,False,False,None,0.01,0.713981489065
2,0.1,False,False,None,0.1,0.72999586264
2,0.1,False,False,None,1.0,0.750437463545
2,0.1,False,False,None,10.0,0.787914139057
2,0.1,False,False,l2,0.001,0.727198928441
2,0.1,False,False,l2,0.01,0.744830981293
2,0.1,False,False,l2,0.1,0.763117634898
2,0.1,False,False,l2,1.0,0.777663639726
2,0.1,False,False,l2,10.0,0.777736852875
2,0.1,False,True,None,0.001,0.709783877329
2,0.1,False,True,None,0.01,0.727870449288
2,0.1,False,True,None,0.1,0.750513262708
2,0.1,False,True,None,1.0,0.773129392311
2,0.1,False,True,None,10.0,0.805556630422
2,0.3,True,False,None,0.001,0.671181766567
2,0.3,True,False,None,0.01,0.680748488315
2,0.3,True,False,None,0.1,0.69648905411
2,0.3,True,False,None,1.0,0.716496791242
2,0.3,True,False,None,10.0,0.747427028851
2,0.3,True,False,l2,0.001,0.705997472174
2,0.3,True,False,l2,0.01,0.727287777824
2,0.3,True,False,l2,0.1,0.75061977394
2,0.3,True,False,l2,1.0,0.769876987699
2,0.3,True,False,l2,10.0,0.763689269024
2,0.3,False,False,None,0.001,0.712384259259
2,0.3,False,False,None,0.01,0.726512871949
2,0.3,False,False,None,0.1,0.743212382644
2,0.3,False,False,None,1.0,0.762910298438
2,0.3,False,False,None,10.0,0.801649253433
2,0.3,False,False,l2,0.001,0.739711206358
2,0.3,False,False,l2,0.01,0.756238165369
2,0.3,False,False,l2,0.1,0.770780856423
2,0.3,False,False,l2,1.0,0.775492493274
2,0.3,False,False,l2,10.0,0.747070488552
2,0.3,False,True,None,0.001,0.719737382027
2,0.3,False,True,None,0.01,0.737225974887
2,0.3,False,True,None,0.1,0.759049821316
2,0.3,False,True,None,1.0,0.777919320594
2,0.3,False,True,None,10.0,0.814681251753
2,0.5,True,False,None,0.001,0.674152732007
2,0.5,True,False,None,0.01,0.684683206889
2,0.5,True,False,None,0.1,0.700858244538
2,0.5,True,False,None,1.0,0.721228697665
2,0.5,True,False,None,10.0,0.751503345473
2,0.5,True,False,l2,0.001,0.710007783376
2,0.5,True,False,l2,0.01,0.731764022087
2,0.5,True,False,l2,0.1,0.755886207042
2,0.5,True,False,l2,1.0,0.773505570246
2,0.5,True,False,l2,10.0,0.75755790237
2,0.5,False,False,None,0.001,0.721361971362
2,0.5,False,False,None,0.01,0.73522498321
2,0.5,False,False,None,0.1,0.751709202089
2,0.5,False,False,None,1.0,0.770550147935
2,0.5,False,False,None,10.0,0.810845706908
2,0.5,False,False,l2,0.001,0.748765173713
2,0.5,False,False,l2,0.01,0.766651141127
2,0.5,False,False,l2,0.1,0.778323002755
2,0.5,False,False,l2,1.0,0.777797325827
2,0.5,False,False,l2,10.0,0.742119815668
2,0.5,False,True,None,0.001,0.719644783799
2,0.5,False,True,None,0.01,0.736890717494
2,0.5,False,True,None,0.1,0.758382685016
2,0.5,False,True,None,1.0,0.775935575557
2,0.5,False,True,None,10.0,0.815967413442
2,0.7,True,False,None,0.001,0.674466957479
2,0.7,True,False,None,0.01,0.685239973702
2,0.7,True,False,None,0.1,0.701060070671
2,0.7,True,False,None,1.0,0.721242298928
2,0.7,True,False,None,10.0,0.751222831866
2,0.7,True,False,l2,0.001,0.710218168372
2,0.7,True,False,l2,0.01,0.731884360269
2,0.7,True,False,l2,0.1,0.755077759837
2,0.7,True,False,l2,1.0,0.769433118506
2,0.7,True,False,l2,10.0,0.737373737374
2,0.7,False,False,None,0.001,0.720130658738
2,0.7,False,False,None,0.01,0.735524256651
2,0.7,False,False,None,0.1,0.752829624568
2,0.7,False,False,None,1.0,0.768266320796
2,0.7,False,False,None,10.0,0.810557614761
2,0.7,False,False,l2,0.001,0.750115979925
2,0.7,False,False,l2,0.01,0.765604986765
2,0.7,False,False,l2,0.1,0.776458306146
2,0.7,False,False,l2,1.0,0.768816721988
2,0.7,False,False,l2,10.0,0.70595070934
2,0.7,False,True,None,0.001,0.717972311682
2,0.7,False,True,None,0.01,0.73387336189
2,0.7,False,True,None,0.1,0.754684471247
2,0.7,False,True,None,1.0,0.769297939225
2,0.7,False,True,None,10.0,0.811769581434
4,0.1,True,False,None,0.001,0.714124657755
4,0.1,True,False,None,0.01,0.718761369608
4,0.1,True,False,None,0.1,0.725170954087
4,0.1,True,False,None,1.0,0.733152753837
4,0.1,True,False,None,10.0,0.745237406504
4,0.1,True,False,l2,0.001,0.731783944899
4,0.1,True,False,l2,0.01,0.739516947433
4,0.1,True,False,l2,0.1,0.751229911446
4,0.1,True,False,l2,1.0,0.769622750062
4,0.1,True,False,l2,10.0,0.774275317879
4,0.1,False,False,None,0.001,0.737932715748
4,0.1,False,False,None,0.01,0.744990594586
4,0.1,False,False,None,0.1,0.75081279065
4,0.1,False,False,None,1.0,0.759686710041
4,0.1,False,False,None,10.0,0.782598264625
4,0.1,False,False,l2,0.001,0.753486863445
4,0.1,False,False,l2,0.01,0.759720348338
4,0.1,False,False,l2,0.1,0.768330861756
4,0.1,False,False,l2,1.0,0.777516985794
4,0.1,False,False,l2,10.0,0.777941176471
4,0.1,False,True,None,0.001,0.747318573684
4,0.1,False,True,None,0.01,0.756532018098
4,0.1,False,True,None,0.1,0.76563077302
4,0.1,False,True,None,1.0,0.777924762298
4,0.1,False,True,None,10.0,0.800636435959
4,0.3,True,False,None,0.001,0.72303421246
4,0.3,True,False,None,0.01,0.728719042152
4,0.3,True,False,None,0.1,0.735797568841
4,0.3,True,False,None,1.0,0.742668835774
4,0.3,True,False,None,10.0,0.756431308155
4,0.3,True,False,l2,0.001,0.742995248239
4,0.3,True,False,l2,0.01,0.750970192387
4,0.3,True,False,l2,0.1,0.760990738024
4,0.3,True,False,l2,1.0,0.772787374707
4,0.3,True,False,l2,10.0,0.767604403285
4,0.3,False,False,None,0.001,0.74871965691
4,0.3,False,False,None,0.01,0.755090071219
4,0.3,False,False,None,0.1,0.760334064451
4,0.3,False,False,None,1.0,0.769217672597
4,0.3,False,False,None,10.0,0.793644242674
4,0.3,False,False,l2,0.001,0.762937325383
4,0.3,False,False,l2,0.01,0.769644056414
4,0.3,False,False,l2,0.1,0.773797338792
4,0.3,False,False,l2,1.0,0.775446505982
4,0.3,False,False,l2,10.0,0.750481135031
4,0.3,False,True,None,0.001,0.754888962546
4,0.3,False,True,None,0.01,0.76426156992
4,0.3,False,True,None,0.1,0.772266397408
4,0.3,False,True,None,1.0,0.780433951849
4,0.3,False,True,None,10.0,0.807224931801
4,0.5,True,False,None,0.001,0.726780661828
4,0.5,True,False,None,0.01,0.732547597461
4,0.5,True,False,None,0.1,0.740082249823
4,0.5,True,False,None,1.0,0.747192894252
4,0.5,True,False,None,10.0,0.761485743295
4,0.5,True,False,l2,0.001,0.746923488497
4,0.5,True,False,l2,0.01,0.755651416483
4,0.5,True,False,l2,0.1,0.765503875969
4,0.5,True,False,l2,1.0,0.775004318535
4,0.5,True,False,l2,10.0,0.765256324155
4,0.5,False,False,None,0.001,0.757057887241
4,0.5,False,False,None,0.01,0.762843186795
4,0.5,False,False,None,0.1,0.768617810367
4,0.5,False,False,None,1.0,0.77534774235
4,0.5,False,False,None,10.0,0.80151338766
4,0.5,False,False,l2,0.001,0.770496620629
4,0.5,False,False,l2,0.01,0.776679340938
4,0.5,False,False,l2,0.1,0.781750289712
4,0.5,False,False,l2,1.0,0.777963418924
4,0.5,False,False,l2,10.0,0.746660567246
4,0.5,False,True,None,0.001,0.753638994924
4,0.5,False,True,None,0.01,0.762653812001
4,0.5,False,True,None,0.1,0.769650468883
4,0.5,False,True,None,1.0,0.777294082152
4,0.5,False,True,None,10.0,0.805736636245
4,0.7,True,False,None,0.001,0.726360795922
4,0.7,True,False,None,0.01,0.732368747416
4,0.7,True,False,None,0.1,0.73975
4,0.7,True,False,None,1.0,0.747004162637
4,0.7,True,False,None,10.0,0.761383407596
4,0.7,True,False,l2,0.001,0.748277427074
4,0.7,True,False,l2,0.01,0.756531868863
4,0.7,True,False,l2,0.1,0.765255634964
4,0.7,True,False,l2,1.0,0.77145099407
4,0.7,True,False,l2,10.0,0.748482619091
4,0.7,False,False,None,0.001,0.756235254466
4,0.7,False,False,None,0.01,0.762114724212
4,0.7,False,False,None,0.1,0.769007470651
4,0.7,False,False,None,1.0,0.775108887835
4,0.7,False,False,None,10.0,0.802029605401
4,0.7,False,False,l2,0.001,0.770714376348
4,0.7,False,False,l2,0.01,0.775950230101
4,0.7,False,False,l2,0.1,0.777816351328
4,0.7,False,False,l2,1.0,0.770215241419
4,0.7,False,False,l2,10.0,0.714573153205
4,0.7,False,True,None,0.001,0.749745503902
4,0.7,False,True,None,0.01,0.757512288951
4,0.7,False,True,None,0.1,0.765436357365
4,0.7,False,True,None,1.0,0.77105274658
4,0.7,False,True,None,10.0,0.798989812516
5,0.1,True,False,None,0.001,0.730335254485
5,0.1,True,False,None,0.01,0.733037567667
5,0.1,True,False,None,0.1,0.735852911134
5,0.1,True,False,None,1.0,0.739218190056
5,0.1,True,False,None,10.0,0.747333028932
5,0.1,True,False,l2,0.001,0.743712090578
5,0.1,True,False,l2,0.01,0.747852286145
5,0.1,True,False,l2,0.1,0.754791478161
5,0.1,True,False,l2,1.0,0.769542057233
5,0.1,True,False,l2,10.0,0.772895581338
5,0.1,False,False,None,0.001,0.747646721781
5,0.1,False,False,None,0.01,0.750924480237
5,0.1,False,False,None,0.1,0.754901149806
5,0.1,False,False,None,1.0,0.760312707917
5,0.1,False,False,None,10.0,0.780596170935
5,0.1,False,False,l2,0.001,0.759584436749
5,0.1,False,False,l2,0.01,0.763272339378
5,0.1,False,False,l2,0.1,0.769854065898
5,0.1,False,False,l2,1.0,0.775993377483
5,0.1,False,False,l2,10.0,0.77521673035
5,0.1,False,True,None,0.001,0.760809492848
5,0.1,False,True,None,0.01,0.766245966589
5,0.1,False,True,None,0.1,0.771583621115
5,0.1,False,True,None,1.0,0.779863269111
5,0.1,False,True,None,10.0,0.799196302994
5,0.3,True,False,None,0.001,0.739248640633
5,0.3,True,False,None,0.01,0.741647370162
5,0.3,True,False,None,0.1,0.745539984198
5,0.3,True,False,None,1.0,0.749129942555
5,0.3,True,False,None,10.0,0.75756677814
5,0.3,True,False,l2,0.001,0.75226114126
5,0.3,True,False,l2,0.01,0.757180156658
5,0.3,True,False,l2,0.1,0.763734185196
5,0.3,True,False,l2,1.0,0.772686356038
5,0.3,True,False,l2,10.0,0.764400211379
5,0.3,False,False,None,0.001,0.758378310531
5,0.3,False,False,None,0.01,0.761916782364
5,0.3,False,False,None,0.1,0.765246095899
5,0.3,False,False,None,1.0,0.770242007768
5,0.3,False,False,None,10.0,0.789695628575
5,0.3,False,False,l2,0.001,0.768547610071
5,0.3,False,False,l2,0.01,0.772708104917
5,0.3,False,False,l2,0.1,0.774890112235
5,0.3,False,False,l2,1.0,0.773895617322
5,0.3,False,False,l2,10.0,0.745391445441
5,0.3,False,True,None,0.001,0.766242967285
5,0.3,False,True,None,0.01,0.771260997067
5,0.3,False,True,None,0.1,0.774964125939
5,0.3,False,True,None,1.0,0.780880910758
5,0.3,False,True,None,10.0,0.80280807321
5,0.5,True,False,None,0.001,0.742656185354
5,0.5,True,False,None,0.01,0.745171339564
5,0.5,True,False,None,0.1,0.748694380614
5,0.5,True,False,None,1.0,0.75322051023
5,0.5,True,False,None,10.0,0.762018106856
5,0.5,True,False,l2,0.001,0.756674231483
5,0.5,True,False,l2,0.01,0.761738407153
5,0.5,True,False,l2,0.1,0.767092030761
5,0.5,True,False,l2,1.0,0.775455333912
5,0.5,True,False,l2,10.0,0.760203851531
5,0.5,False,False,None,0.001,0.766297714743
5,0.5,False,False,None,0.01,0.769536535859
5,0.5,False,False,None,0.1,0.772634445201
5,0.5,False,False,None,1.0,0.776562432977
5,0.5,False,False,None,10.0,0.79769854269
5,0.5,False,False,l2,0.001,0.775768306564
5,0.5,False,False,l2,0.01,0.779408023068
5,0.5,False,False,l2,0.1,0.781464924347
5,0.5,False,False,l2,1.0,0.77607592143
5,0.5,False,False,l2,10.0,0.743454051815
5,0.5,False,True,None,0.001,0.76343223737
5,0.5,False,True,None,0.01,0.768257472826
5,0.5,False,True,None,0.1,0.771279328652
5,0.5,False,True,None,1.0,0.776883813479
5,0.5,False,True,None,10.0,0.800714164258
5,0.7,True,False,None,0.001,0.7424638222
5,0.7,True,False,None,0.01,0.744835054982
5,0.7,True,False,None,0.1,0.748795710635
5,0.7,True,False,None,1.0,0.753575496773
5,0.7,True,False,None,10.0,0.762323042811
5,0.7,True,False,l2,0.001,0.756998509193
5,0.7,True,False,l2,0.01,0.762147269995
5,0.7,True,False,l2,0.1,0.76804342295
5,0.7,True,False,l2,1.0,0.771213183731
5,0.7,True,False,l2,10.0,0.74341038588
5,0.7,False,False,None,0.001,0.76553361024
5,0.7,False,False,None,0.01,0.768909888052
5,0.7,False,False,None,0.1,0.772380707616
5,0.7,False,False,None,1.0,0.77603941568
5,0.7,False,False,None,10.0,0.796776246023
5,0.7,False,False,l2,0.001,0.775733423775
5,0.7,False,False,l2,0.01,0.778792794331
5,0.7,False,False,l2,0.1,0.778520576489
5,0.7,False,False,l2,1.0,0.768553459119
5,0.7,False,False,l2,10.0,0.709173338478
5,0.7,False,True,None,0.001,0.757922610404
5,0.7,False,True,None,0.01,0.762404333993
5,0.7,False,True,None,0.1,0.766158378097
5,0.7,False,True,None,1.0,0.770060037688
5,0.7,False,True,None,10.0,0.792495342086
10,0.1,True,False,None,0.001,0.750466553311
10,0.1,True,False,None,0.01,0.7506222001
10,0.1,True,False,None,0.1,0.750902527076
10,0.1,True,False,None,1.0,0.751682312869
10,0.1,True,False,None,10.0,0.755738865975
10,0.1,True,False,l2,0.001,0.756570018507
10,0.1,True,False,l2,0.01,0.756801251183
10,0.1,True,False,l2,0.1,0.760003300058
10,0.1,True,False,l2,1.0,0.766872949288
10,0.1,True,False,l2,10.0,0.77107735607
10,0.1,False,False,None,0.001,0.761742597284
10,0.1,False,False,None,0.01,0.762098616708
10,0.1,False,False,None,0.1,0.762189799227
10,0.1,False,False,None,1.0,0.76457109528
10,0.1,False,False,None,10.0,0.773666625418
10,0.1,False,False,l2,0.001,0.766348970582
10,0.1,False,False,l2,0.01,0.767166274413
10,0.1,False,False,l2,0.1,0.770206416314
10,0.1,False,False,l2,1.0,0.774472687939
10,0.1,False,False,l2,10.0,0.773239727442
10,0.1,False,True,None,0.001,0.774547266988
10,0.1,False,True,None,0.01,0.774786005152
10,0.1,False,True,None,0.1,0.775527180468
10,0.1,False,True,None,1.0,0.778286952175
10,0.1,False,True,None,10.0,0.791774838258
10,0.3,True,False,None,0.001,0.760348768306
10,0.3,True,False,None,0.01,0.760518073309
10,0.3,True,False,None,0.1,0.76080789262
10,0.3,True,False,None,1.0,0.761117470007
10,0.3,True,False,None,10.0,0.76267437904
10,0.3,True,False,l2,0.001,0.766782820437
10,0.3,True,False,l2,0.01,0.766675077803
10,0.3,True,False,l2,0.1,0.768606910535
10,0.3,True,False,l2,1.0,0.771952479339
10,0.3,True,False,l2,10.0,0.763702103267
10,0.3,False,False,None,0.001,0.768323432625
10,0.3,False,False,None,0.01,0.768586208371
10,0.3,False,False,None,0.1,0.768763371844
10,0.3,False,False,None,1.0,0.770768966701
10,0.3,False,False,None,10.0,0.781243351347
10,0.3,False,False,l2,0.001,0.77504146995
10,0.3,False,False,l2,0.01,0.775023426186
10,0.3,False,False,l2,0.1,0.77511469365
10,0.3,False,False,l2,1.0,0.771969730108
10,0.3,False,False,l2,10.0,0.74553973689
10,0.3,False,True,None,0.001,0.778532086589
10,0.3,False,True,None,0.01,0.778860121336
10,0.3,False,True,None,0.1,0.7793884969
10,0.3,False,True,None,1.0,0.78185874882
10,0.3,False,True,None,10.0,0.791101604278
10,0.5,True,False,None,0.001,0.762281822052
10,0.5,True,False,None,0.01,0.762517029973
10,0.5,True,False,None,0.1,0.762724136462
10,0.5,True,False,None,1.0,0.763143307892
10,0.5,True,False,None,10.0,0.767112745308
10,0.5,True,False,l2,0.001,0.769866015
10,0.5,True,False,l2,0.01,0.770230360307
10,0.5,True,False,l2,0.1,0.772553679029
10,0.5,True,False,l2,1.0,0.774350719972
10,0.5,True,False,l2,10.0,0.760680290522
10,0.5,False,False,None,0.001,0.776654096675
10,0.5,False,False,None,0.01,0.77686800703
10,0.5,False,False,None,0.1,0.777439416685
10,0.5,False,False,None,1.0,0.77915376677
10,0.5,False,False,None,10.0,0.79024181468
10,0.5,False,False,l2,0.001,0.781643543223
10,0.5,False,False,l2,0.01,0.782649612867
10,0.5,False,False,l2,0.1,0.784013092726
10,0.5,False,False,l2,1.0,0.776176158472
10,0.5,False,False,l2,10.0,0.745507884122
10,0.5,False,True,None,0.001,0.777753826256
10,0.5,False,True,None,0.01,0.777878434925
10,0.5,False,True,None,0.1,0.778315334773
10,0.5,False,True,None,1.0,0.779113676809
10,0.5,False,True,None,10.0,0.788653963282
10,0.7,True,False,None,0.001,0.762262540021
10,0.7,True,False,None,0.01,0.762486126526
10,0.7,True,False,None,0.1,0.76287691125
10,0.7,True,False,None,1.0,0.762951871658
10,0.7,True,False,None,10.0,0.766035954863
10,0.7,True,False,l2,0.001,0.771219738899
10,0.7,True,False,l2,0.01,0.771906071504
10,0.7,True,False,l2,0.1,0.772240930986
10,0.7,True,False,l2,1.0,0.770952172005
10,0.7,True,False,l2,10.0,0.745494871084
10,0.7,False,False,None,0.001,0.776752608433
10,0.7,False,False,None,0.01,0.776823849174
10,0.7,False,False,None,0.1,0.777341220155
10,0.7,False,False,None,1.0,0.779693320627
10,0.7,False,False,None,10.0,0.787925897137
10,0.7,False,False,l2,0.001,0.782220313507
10,0.7,False,False,l2,0.01,0.782339271882
10,0.7,False,False,l2,0.1,0.782238442822
10,0.7,False,False,l2,1.0,0.768712675677
10,0.7,False,False,l2,10.0,0.715782423576
10,0.7,False,True,None,0.001,0.771056995723
10,0.7,False,True,None,0.01,0.771246397065
10,0.7,False,True,None,0.1,0.77153852882
10,0.7,False,True,None,1.0,0.772050098879
10,0.7,False,True,None,10.0,0.778290173821
20,0.1,True,False,None,0.001,0.764356106283
20,0.1,True,False,None,0.01,0.764356106283
20,0.1,True,False,None,0.1,0.764407484407
20,0.1,True,False,None,1.0,0.764444074706
20,0.1,True,False,None,10.0,0.764835898077
20,0.1,True,False,l2,0.001,0.770107820052
20,0.1,True,False,l2,0.01,0.770349557888
20,0.1,True,False,l2,0.1,0.770535197287
20,0.1,True,False,l2,1.0,0.769890503352
20,0.1,True,False,l2,10.0,0.769275700935
20,0.1,False,False,None,0.001,0.769724235608
20,0.1,False,False,None,0.01,0.769724235608
20,0.1,False,False,None,0.1,0.77001916507
20,0.1,False,False,None,1.0,0.769725038595
20,0.1,False,False,None,10.0,0.771788035327
20,0.1,False,False,l2,0.001,0.775292070594
20,0.1,False,False,l2,0.01,0.775361418334
20,0.1,False,False,l2,0.1,0.775018686156
20,0.1,False,False,l2,1.0,0.773461297726
20,0.1,False,False,l2,10.0,0.769846230779
20,0.1,False,True,None,0.001,0.784434118818
20,0.1,False,True,None,0.01,0.784434118818
20,0.1,False,True,None,0.1,0.784347898253
20,0.1,False,True,None,1.0,0.78452717301
20,0.1,False,True,None,10.0,0.787135912245
20,0.3,True,False,None,0.001,0.772717644567
20,0.3,True,False,None,0.01,0.77278312079
20,0.3,True,False,None,0.1,0.772796610169
20,0.3,True,False,None,1.0,0.773110668419
20,0.3,True,False,None,10.0,0.773011351558
20,0.3,True,False,l2,0.001,0.77825609859
20,0.3,True,False,l2,0.01,0.778298501161
20,0.3,True,False,l2,0.1,0.778262527002
20,0.3,True,False,l2,1.0,0.77328162034
20,0.3,True,False,l2,10.0,0.759021705358
20,0.3,False,False,None,0.001,0.779603011636
20,0.3,False,False,None,0.01,0.77961750738
20,0.3,False,False,None,0.1,0.77949420172
20,0.3,False,False,None,1.0,0.778735262594
20,0.3,False,False,None,10.0,0.778222509146
20,0.3,False,False,l2,0.001,0.781803439594
20,0.3,False,False,l2,0.01,0.781531627728
20,0.3,False,False,l2,0.1,0.780358214071
20,0.3,False,False,l2,1.0,0.772040192224
20,0.3,False,False,l2,10.0,0.74047532656
20,0.3,False,True,None,0.001,0.788868053188
20,0.3,False,True,None,0.01,0.788901674978
20,0.3,False,True,None,0.1,0.788953290147
20,0.3,False,True,None,1.0,0.788101547141
20,0.3,False,True,None,10.0,0.786871123363
20,0.5,True,False,None,0.001,0.778287851739
20,0.5,True,False,None,0.01,0.778287851739
20,0.5,True,False,None,0.1,0.778183982316
20,0.5,True,False,None,1.0,0.778269378031
20,0.5,True,False,None,10.0,0.77850399419
20,0.5,True,False,l2,0.001,0.78406779661
20,0.5,True,False,l2,0.01,0.783913209306
20,0.5,True,False,l2,0.1,0.783392887528
20,0.5,True,False,l2,1.0,0.778322984064
20,0.5,True,False,l2,10.0,0.757928070572
20,0.5,False,False,None,0.001,0.785224545766
20,0.5,False,False,None,0.01,0.785258195843
20,0.5,False,False,None,0.1,0.785117236058
20,0.5,False,False,None,1.0,0.784588290881
20,0.5,False,False,None,10.0,0.785375118708
20,0.5,False,False,l2,0.001,0.78707354706
20,0.5,False,False,l2,0.01,0.786896492582
20,0.5,False,False,l2,0.1,0.78594496835
20,0.5,False,False,l2,1.0,0.777782675777
20,0.5,False,False,l2,10.0,0.744064293915
20,0.5,False,True,None,0.001,0.786200361788
20,0.5,False,True,None,0.01,0.786200361788
20,0.5,False,True,None,0.1,0.786366770079
20,0.5,False,True,None,1.0,0.786729448356
20,0.5,False,True,None,10.0,0.784070021882
20,0.7,True,False,None,0.001,0.779058843625
20,0.7,True,False,None,0.01,0.779058843625
20,0.7,True,False,None,0.1,0.779158658979
20,0.7,True,False,None,1.0,0.779306220096
20,0.7,True,False,None,10.0,0.779258624384
20,0.7,True,False,l2,0.001,0.784308725403
20,0.7,True,False,l2,0.01,0.784262016163
20,0.7,True,False,l2,0.1,0.783756085063
20,0.7,True,False,l2,1.0,0.776553894571
20,0.7,True,False,l2,10.0,0.744901742677
20,0.7,False,False,None,0.001,0.785418464193
20,0.7,False,False,None,0.01,0.78536606411
20,0.7,False,False,None,0.1,0.785329018339
20,0.7,False,False,None,1.0,0.784695201038
20,0.7,False,False,None,10.0,0.783357994604
20,0.7,False,False,l2,0.001,0.788248956944
20,0.7,False,False,l2,0.01,0.788137052342
20,0.7,False,False,l2,0.1,0.785565579459
20,0.7,False,False,l2,1.0,0.771764916521
20,0.7,False,False,l2,10.0,0.715605110781
20,0.7,False,True,None,0.001,0.782415475776
20,0.7,False,True,None,0.01,0.782449566468
20,0.7,False,True,None,0.1,0.782358581016
20,0.7,False,True,None,1.0,0.781284194861
20,0.7,False,True,None,10.0,0.777496333822
