no_below,no_above,idf,bool,norm,C,score
2,0.1,True,False,None,0.001,0.718896363791
2,0.1,True,False,None,0.01,0.708030765264
2,0.1,True,False,None,0.1,0.704359085024
2,0.1,True,False,None,1.0,0.703727700747
2,0.1,True,False,None,10.0,0.703758099352
2,0.1,True,False,l2,0.001,0.736434108527
2,0.1,True,False,l2,0.01,0.733954973118
2,0.1,True,False,l2,0.1,0.741156747695
2,0.1,True,False,l2,1.0,0.7379683597
2,0.1,True,False,l2,10.0,0.728352013284
2,0.1,False,False,None,0.001,0.677234242709
2,0.1,False,False,None,0.01,0.661413585228
2,0.1,False,False,None,0.1,0.6364473748
2,0.1,False,False,None,1.0,0.596260071961
2,0.1,False,False,None,10.0,0.584885331692
2,0.1,False,False,l2,0.001,0.732867249969
2,0.1,False,False,l2,0.01,0.732302753844
2,0.1,False,False,l2,0.1,0.740354272731
2,0.1,False,False,l2,1.0,0.738874754974
2,0.1,False,False,l2,10.0,0.72724248347
2,0.1,False,True,None,0.001,0.712303760497
2,0.1,False,True,None,0.01,0.71492849824
2,0.1,False,True,None,0.1,0.694509032373
2,0.1,False,True,None,1.0,0.668669131238
2,0.1,False,True,None,10.0,0.65927070168
2,0.3,True,False,None,0.001,0.785290925787
2,0.3,True,False,None,0.01,0.778276368211
2,0.3,True,False,None,0.1,0.776380535812
2,0.3,True,False,None,1.0,0.776436950763
2,0.3,True,False,None,10.0,0.77633404819
2,0.3,True,False,l2,0.001,0.77888370921
2,0.3,True,False,l2,0.01,0.784221962226
2,0.3,True,False,l2,0.1,0.797525636235
2,0.3,True,False,l2,1.0,0.8019473878
2,0.3,True,False,l2,10.0,0.791918861443
2,0.3,False,False,None,0.001,0.786401539448
2,0.3,False,False,None,0.01,0.7618550422
2,0.3,False,False,None,0.1,0.740329035127
2,0.3,False,False,None,1.0,0.721637266968
2,0.3,False,False,None,10.0,0.718535469108
2,0.3,False,False,l2,0.001,0.772504091653
2,0.3,False,False,l2,0.01,0.780386280386
2,0.3,False,False,l2,0.1,0.798098387764
2,0.3,False,False,l2,1.0,0.799704056887
2,0.3,False,False,l2,10.0,0.783847392543
2,0.3,False,True,None,0.001,0.800152426116
2,0.3,False,True,None,0.01,0.784315395095
2,0.3,False,True,None,0.1,0.767465841712
2,0.3,False,True,None,1.0,0.755038691907
2,0.3,False,True,None,10.0,0.751790500461
2,0.5,True,False,None,0.001,0.806560619797
2,0.5,True,False,None,0.01,0.800463652923
2,0.5,True,False,None,0.1,0.799170124481
2,0.5,True,False,None,1.0,0.799252957045
2,0.5,True,False,None,10.0,0.799219787517
2,0.5,True,False,l2,0.001,0.788879528222
2,0.5,True,False,l2,0.01,0.799917218543
2,0.5,True,False,l2,0.1,0.819033530572
2,0.5,True,False,l2,1.0,0.822188759106
2,0.5,True,False,l2,10.0,0.81043137575
2,0.5,False,False,None,0.001,0.80826674476
2,0.5,False,False,None,0.01,0.786159760786
2,0.5,False,False,None,0.1,0.766037242161
2,0.5,False,False,None,1.0,0.75265284376
2,0.5,False,False,None,10.0,0.749019258203
2,0.5,False,False,l2,0.001,0.773316603931
2,0.5,False,False,l2,0.01,0.788345064659
2,0.5,False,False,l2,0.1,0.809045019904
2,0.5,False,False,l2,1.0,0.811991576166
2,0.5,False,False,l2,10.0,0.800182406102
2,0.5,False,True,None,0.001,0.814948713637
2,0.5,False,True,None,0.01,0.800370932389
2,0.5,False,True,None,0.1,0.785960727521
2,0.5,False,True,None,1.0,0.776190270644
2,0.5,False,True,None,10.0,0.774651545321
2,0.7,True,False,None,0.001,0.814604662637
2,0.7,True,False,None,0.01,0.809125036096
2,0.7,True,False,None,0.1,0.807066787749
2,0.7,True,False,None,1.0,0.807049403607
2,0.7,True,False,None,10.0,0.807049403607
2,0.7,True,False,l2,0.001,0.788657171923
2,0.7,True,False,l2,0.01,0.803449841126
2,0.7,True,False,l2,0.1,0.824110671937
2,0.7,True,False,l2,1.0,0.82813072321
2,0.7,True,False,l2,10.0,0.817202546107
2,0.7,False,False,None,0.001,0.811049539603
2,0.7,False,False,None,0.01,0.792050617861
2,0.7,False,False,None,0.1,0.777960100181
2,0.7,False,False,None,1.0,0.765078248637
2,0.7,False,False,None,10.0,0.762224183583
2,0.7,False,False,l2,0.001,0.757161707743
2,0.7,False,False,l2,0.01,0.781202419654
2,0.7,False,False,l2,0.1,0.809514011769
2,0.7,False,False,l2,1.0,0.811091278901
2,0.7,False,False,l2,10.0,0.802378279489
2,0.7,False,True,None,0.001,0.814397443445
2,0.7,False,True,None,0.01,0.804697621933
2,0.7,False,True,None,0.1,0.792586650906
2,0.7,False,True,None,1.0,0.784558226929
2,0.7,False,True,None,10.0,0.783405403091
4,0.1,True,False,None,0.001,0.717221467391
4,0.1,True,False,None,0.01,0.70588739395
4,0.1,True,False,None,0.1,0.702774790277
4,0.1,True,False,None,1.0,0.702428104012
4,0.1,True,False,None,10.0,0.702514206992
4,0.1,True,False,l2,0.001,0.733009301936
4,0.1,True,False,l2,0.01,0.729007633588
4,0.1,True,False,l2,0.1,0.738244248985
4,0.1,True,False,l2,1.0,0.733662455025
4,0.1,True,False,l2,10.0,0.724536459632
4,0.1,False,False,None,0.001,0.679495001643
4,0.1,False,False,None,0.01,0.664595103578
4,0.1,False,False,None,0.1,0.644816053512
4,0.1,False,False,None,1.0,0.608648002391
4,0.1,False,False,None,10.0,0.597809076682
4,0.1,False,False,l2,0.001,0.731016514687
4,0.1,False,False,l2,0.01,0.728718428438
4,0.1,False,False,l2,0.1,0.738880432944
4,0.1,False,False,l2,1.0,0.736604719148
4,0.1,False,False,l2,10.0,0.72475115572
4,0.1,False,True,None,0.001,0.712201349626
4,0.1,False,True,None,0.01,0.715763306255
4,0.1,False,True,None,0.1,0.697676481022
4,0.1,False,True,None,1.0,0.672588251454
4,0.1,False,True,None,10.0,0.664660958112
4,0.3,True,False,None,0.001,0.7832693271
4,0.3,True,False,None,0.01,0.772673832718
4,0.3,True,False,None,0.1,0.771528332843
4,0.3,True,False,None,1.0,0.77118572751
4,0.3,True,False,None,10.0,0.77103059378
4,0.3,True,False,l2,0.001,0.776057704475
4,0.3,True,False,l2,0.01,0.779559456494
4,0.3,True,False,l2,0.1,0.796153042024
4,0.3,True,False,l2,1.0,0.800016462938
4,0.3,True,False,l2,10.0,0.786203482135
4,0.3,False,False,None,0.001,0.785686802616
4,0.3,False,False,None,0.01,0.761904761905
4,0.3,False,False,None,0.1,0.739975159688
4,0.3,False,False,None,1.0,0.722819431215
4,0.3,False,False,None,10.0,0.718906605923
4,0.3,False,False,l2,0.001,0.770513198333
4,0.3,False,False,l2,0.01,0.777898702386
4,0.3,False,False,l2,0.1,0.796881479638
4,0.3,False,False,l2,1.0,0.798152653499
4,0.3,False,False,l2,10.0,0.779652584885
4,0.3,False,True,None,0.001,0.79989838259
4,0.3,False,True,None,0.01,0.783727369542
4,0.3,False,True,None,0.1,0.76716558734
4,0.3,False,True,None,1.0,0.754302644765
4,0.3,False,True,None,10.0,0.75131302521
4,0.5,True,False,None,0.001,0.803928851471
4,0.5,True,False,None,0.01,0.797629408595
4,0.5,True,False,None,0.1,0.795663191127
4,0.5,True,False,None,1.0,0.79548003822
4,0.5,True,False,None,10.0,0.795463043749
4,0.5,True,False,l2,0.001,0.787129551228
4,0.5,True,False,l2,0.01,0.797258327413
4,0.5,True,False,l2,0.1,0.818181818182
4,0.5,True,False,l2,1.0,0.818858967013
4,0.5,True,False,l2,10.0,0.805606938792
4,0.5,False,False,None,0.001,0.808619246862
4,0.5,False,False,None,0.01,0.784911786065
4,0.5,False,False,None,0.1,0.76639094471
4,0.5,False,False,None,1.0,0.752903626208
4,0.5,False,False,None,10.0,0.749332146037
4,0.5,False,False,l2,0.001,0.772175811259
4,0.5,False,False,l2,0.01,0.787437826284
4,0.5,False,False,l2,0.1,0.808480856319
4,0.5,False,False,l2,1.0,0.810996563574
4,0.5,False,False,l2,10.0,0.797818302939
4,0.5,False,True,None,0.001,0.815474440291
4,0.5,False,True,None,0.01,0.800505263158
4,0.5,False,True,None,0.1,0.786224489796
4,0.5,False,True,None,1.0,0.777768218188
4,0.5,False,True,None,10.0,0.775402686013
4,0.7,True,False,None,0.001,0.811338634584
4,0.7,True,False,None,0.01,0.804839775355
4,0.7,True,False,None,0.1,0.803156111868
4,0.7,True,False,None,1.0,0.803024668402
4,0.7,True,False,None,10.0,0.803074126105
4,0.7,True,False,l2,0.001,0.786918753194
4,0.7,True,False,l2,0.01,0.800850992825
4,0.7,True,False,l2,0.1,0.822783235916
4,0.7,True,False,l2,1.0,0.824814829971
4,0.7,True,False,l2,10.0,0.811515525396
4,0.7,False,False,None,0.001,0.810831076859
4,0.7,False,False,None,0.01,0.792075007424
4,0.7,False,False,None,0.1,0.777331779533
4,0.7,False,False,None,1.0,0.765559892978
4,0.7,False,False,None,10.0,0.762667840634
4,0.7,False,False,l2,0.001,0.756399317406
4,0.7,False,False,l2,0.01,0.779345442509
4,0.7,False,False,l2,0.1,0.809123154335
4,0.7,False,False,l2,1.0,0.810938863721
4,0.7,False,False,l2,10.0,0.80021688355
4,0.7,False,True,None,0.001,0.814587364348
4,0.7,False,True,None,0.01,0.804295144982
4,0.7,False,True,None,0.1,0.79287248831
4,0.7,False,True,None,1.0,0.785148599165
4,0.7,False,True,None,10.0,0.78377340784
5,0.1,True,False,None,0.001,0.717911775923
5,0.1,True,False,None,0.01,0.706752769106
5,0.1,True,False,None,0.1,0.703630589649
5,0.1,True,False,None,1.0,0.7033410633
5,0.1,True,False,None,10.0,0.703315581515
5,0.1,True,False,l2,0.001,0.733838235909
5,0.1,True,False,l2,0.01,0.730083435687
5,0.1,True,False,l2,0.1,0.739295667596
5,0.1,True,False,l2,1.0,0.733811748999
5,0.1,True,False,l2,10.0,0.723775497487
5,0.1,False,False,None,0.001,0.679885623213
5,0.1,False,False,None,0.01,0.667790893761
5,0.1,False,False,None,0.1,0.649513410871
5,0.1,False,False,None,1.0,0.617586104806
5,0.1,False,False,None,10.0,0.606466443456
5,0.1,False,False,l2,0.001,0.731299378047
5,0.1,False,False,l2,0.01,0.729691817216
5,0.1,False,False,l2,0.1,0.738959557114
5,0.1,False,False,l2,1.0,0.73717146433
5,0.1,False,False,l2,10.0,0.724772547879
5,0.1,False,True,None,0.001,0.712272540703
5,0.1,False,True,None,0.01,0.714825516782
5,0.1,False,True,None,0.1,0.69621208757
5,0.1,False,True,None,1.0,0.672250446245
5,0.1,False,True,None,10.0,0.665001618797
5,0.3,True,False,None,0.001,0.781428750365
5,0.3,True,False,None,0.01,0.770968961317
5,0.3,True,False,None,0.1,0.769289051648
5,0.3,True,False,None,1.0,0.769289083558
5,0.3,True,False,None,10.0,0.769321484227
5,0.3,True,False,l2,0.001,0.774767932489
5,0.3,True,False,l2,0.01,0.778091902612
5,0.3,True,False,l2,0.1,0.796307897924
5,0.3,True,False,l2,1.0,0.799259106812
5,0.3,True,False,l2,10.0,0.784227910818
5,0.3,False,False,None,0.001,0.785714285714
5,0.3,False,False,None,0.01,0.761822050458
5,0.3,False,False,None,0.1,0.739215165205
5,0.3,False,False,None,1.0,0.723972478725
5,0.3,False,False,None,10.0,0.720094605658
5,0.3,False,False,l2,0.001,0.770597398223
5,0.3,False,False,l2,0.01,0.778335844634
5,0.3,False,False,l2,0.1,0.797347150259
5,0.3,False,False,l2,1.0,0.798169675983
5,0.3,False,False,l2,10.0,0.780186528497
5,0.3,False,True,None,0.001,0.799508516227
5,0.3,False,True,None,0.01,0.783071939993
5,0.3,False,True,None,0.1,0.766149094964
5,0.3,False,True,None,1.0,0.754072654412
5,0.3,False,True,None,10.0,0.750371861055
5,0.5,True,False,None,0.001,0.804262525298
5,0.5,True,False,None,0.01,0.797099647814
5,0.5,True,False,None,0.1,0.795783707515
5,0.5,True,False,None,1.0,0.795052710218
5,0.5,True,False,None,10.0,0.795168721205
5,0.5,True,False,l2,0.001,0.7873962392
5,0.5,True,False,l2,0.01,0.79739217653
5,0.5,True,False,l2,0.1,0.818478575265
5,0.5,True,False,l2,1.0,0.818679970557
5,0.5,True,False,l2,10.0,0.803928820943
5,0.5,False,False,None,0.001,0.808093502576
5,0.5,False,False,None,0.01,0.785082660515
5,0.5,False,False,None,0.1,0.765875952122
5,0.5,False,False,None,1.0,0.753852967228
5,0.5,False,False,None,10.0,0.750200160128
5,0.5,False,False,l2,0.001,0.772381951731
5,0.5,False,False,l2,0.01,0.787191186747
5,0.5,False,False,l2,0.1,0.809308445029
5,0.5,False,False,l2,1.0,0.811117085074
5,0.5,False,False,l2,10.0,0.797354629399
5,0.5,False,True,None,0.001,0.81507943179
5,0.5,False,True,None,0.01,0.799713454975
5,0.5,False,True,None,0.1,0.785000637728
5,0.5,False,True,None,1.0,0.777290322581
5,0.5,False,True,None,10.0,0.776076926394
5,0.7,True,False,None,0.001,0.810567966367
5,0.7,True,False,None,0.01,0.804984732194
5,0.7,True,False,None,0.1,0.803487315098
5,0.7,True,False,None,1.0,0.803470357364
5,0.7,True,False,None,10.0,0.803503553132
5,0.7,True,False,l2,0.001,0.786301486561
5,0.7,True,False,l2,0.01,0.800567186588
5,0.7,True,False,l2,0.1,0.823733862959
5,0.7,True,False,l2,1.0,0.823649838267
5,0.7,True,False,l2,10.0,0.809367026093
5,0.7,False,False,None,0.001,0.81030601184
5,0.7,False,False,None,0.01,0.791832922999
5,0.7,False,False,None,0.1,0.77644012945
5,0.7,False,False,None,1.0,0.765554435042
5,0.7,False,False,None,10.0,0.762482952796
5,0.7,False,False,l2,0.001,0.756752144046
5,0.7,False,False,l2,0.01,0.77953765353
5,0.7,False,False,l2,0.1,0.809247125726
5,0.7,False,False,l2,1.0,0.81046728972
5,0.7,False,False,l2,10.0,0.800016675699
5,0.7,False,True,None,0.001,0.814512738586
5,0.7,False,True,None,0.01,0.804614034354
5,0.7,False,True,None,0.1,0.79248462381
5,0.7,False,True,None,1.0,0.784744391947
5,0.7,False,True,None,10.0,0.783376712037
10,0.1,True,False,None,0.001,0.71838139613
10,0.1,True,False,None,0.01,0.7071295827
10,0.1,True,False,None,0.1,0.703979678239
10,0.1,True,False,None,1.0,0.703110433088
10,0.1,True,False,None,10.0,0.702970716617
10,0.1,True,False,l2,0.001,0.731861198738
10,0.1,True,False,l2,0.01,0.727389023922
10,0.1,True,False,l2,0.1,0.737457627119
10,0.1,True,False,l2,1.0,0.734688775935
10,0.1,True,False,l2,10.0,0.719854038812
10,0.1,False,False,None,0.001,0.680944382232
10,0.1,False,False,None,0.01,0.67271885132
10,0.1,False,False,None,0.1,0.662655620864
10,0.1,False,False,None,1.0,0.638869056119
10,0.1,False,False,None,10.0,0.6304598807
10,0.1,False,False,l2,0.001,0.7296955385
10,0.1,False,False,l2,0.01,0.724807527802
10,0.1,False,False,l2,0.1,0.738198152386
10,0.1,False,False,l2,1.0,0.733923500919
10,0.1,False,False,l2,10.0,0.721069234601
10,0.1,False,True,None,0.001,0.710579207016
10,0.1,False,True,None,0.01,0.710832666844
10,0.1,False,True,None,0.1,0.697662131819
10,0.1,False,True,None,1.0,0.678202875039
10,0.1,False,True,None,10.0,0.671635686043
10,0.3,True,False,None,0.001,0.777193860527
10,0.3,True,False,None,0.01,0.768613687641
10,0.3,True,False,None,0.1,0.765688449784
10,0.3,True,False,None,1.0,0.765378334241
10,0.3,True,False,None,10.0,0.765378334241
10,0.3,True,False,l2,0.001,0.772935003385
10,0.3,True,False,l2,0.01,0.775278037185
10,0.3,True,False,l2,0.1,0.796281562749
10,0.3,True,False,l2,1.0,0.795989106214
10,0.3,True,False,l2,10.0,0.77969047422
10,0.3,False,False,None,0.001,0.784770053476
10,0.3,False,False,None,0.01,0.760364267129
10,0.3,False,False,None,0.1,0.742774312571
10,0.3,False,False,None,1.0,0.72945389436
10,0.3,False,False,None,10.0,0.725907946782
10,0.3,False,False,l2,0.001,0.77006837174
10,0.3,False,False,l2,0.01,0.776670451201
10,0.3,False,False,l2,0.1,0.796894461513
10,0.3,False,False,l2,1.0,0.795874587459
10,0.3,False,False,l2,10.0,0.776361144566
10,0.3,False,True,None,0.001,0.798424329705
10,0.3,False,True,None,0.01,0.781529803019
10,0.3,False,True,None,0.1,0.763947762792
10,0.3,False,True,None,1.0,0.751857484249
10,0.3,False,True,None,10.0,0.749247611986
10,0.5,True,False,None,0.001,0.800049472296
10,0.5,True,False,None,0.01,0.793345442536
10,0.5,True,False,None,0.1,0.792518270779
10,0.5,True,False,None,1.0,0.792583722179
10,0.5,True,False,None,10.0,0.792583722179
10,0.5,True,False,l2,0.001,0.785271383675
10,0.5,True,False,l2,0.01,0.795963842758
10,0.5,True,False,l2,0.1,0.819000207426
10,0.5,True,False,l2,1.0,0.817350662129
10,0.5,True,False,l2,10.0,0.799538695992
10,0.5,False,False,None,0.001,0.807550644567
10,0.5,False,False,None,0.01,0.783407382092
10,0.5,False,False,None,0.1,0.766376208436
10,0.5,False,False,None,1.0,0.754584231124
10,0.5,False,False,None,10.0,0.752635990647
10,0.5,False,False,l2,0.001,0.7718973496
10,0.5,False,False,l2,0.01,0.786522421339
10,0.5,False,False,l2,0.1,0.808964693281
10,0.5,False,False,l2,1.0,0.809091286135
10,0.5,False,False,l2,10.0,0.793640195301
10,0.5,False,True,None,0.001,0.814266487214
10,0.5,False,True,None,0.01,0.797671279109
10,0.5,False,True,None,0.1,0.781361702128
10,0.5,False,True,None,1.0,0.773944055343
10,0.5,False,True,None,10.0,0.772464891876
10,0.7,True,False,None,0.001,0.808954610803
10,0.7,True,False,None,0.01,0.801166468148
10,0.7,True,False,None,0.1,0.799769708434
10,0.7,True,False,None,1.0,0.800082253753
10,0.7,True,False,None,10.0,0.800016452781
10,0.7,True,False,l2,0.001,0.787234950297
10,0.7,True,False,l2,0.01,0.800906306382
10,0.7,True,False,l2,0.1,0.824500975225
10,0.7,True,False,l2,1.0,0.822750452377
10,0.7,True,False,l2,10.0,0.804159445407
10,0.7,False,False,None,0.001,0.810887416114
10,0.7,False,False,None,0.01,0.789788896912
10,0.7,False,False,None,0.1,0.774776324845
10,0.7,False,False,None,1.0,0.764857429807
10,0.7,False,False,None,10.0,0.763072611019
10,0.7,False,False,l2,0.001,0.756449683923
10,0.7,False,False,l2,0.01,0.778700780861
10,0.7,False,False,l2,0.1,0.808556326396
10,0.7,False,False,l2,1.0,0.810184606409
10,0.7,False,False,l2,10.0,0.798681245305
10,0.7,False,True,None,0.001,0.814410021438
10,0.7,False,True,None,0.01,0.803977272727
10,0.7,False,True,None,0.1,0.789555827393
10,0.7,False,True,None,1.0,0.782730872397
10,0.7,False,True,None,10.0,0.780808468861
20,0.1,True,False,None,0.001,0.710867733783
20,0.1,True,False,None,0.01,0.690631529572
20,0.1,True,False,None,0.1,0.646159496809
20,0.1,True,False,None,1.0,0.456102170552
20,0.1,True,False,None,10.0,0.369574612583
20,0.1,True,False,l2,0.001,0.729403799772
20,0.1,True,False,l2,0.01,0.726282848202
20,0.1,True,False,l2,0.1,0.735967441072
20,0.1,True,False,l2,1.0,0.730193166173
20,0.1,True,False,l2,10.0,0.707094495143
20,0.1,False,False,None,0.001,0.675584342439
20,0.1,False,False,None,0.01,0.666635704997
20,0.1,False,False,None,0.1,0.646450595818
20,0.1,False,False,None,1.0,0.557869650813
20,0.1,False,False,None,10.0,0.42416711048
20,0.1,False,False,l2,0.001,0.726086035177
20,0.1,False,False,l2,0.01,0.724211972859
20,0.1,False,False,l2,0.1,0.735355249205
20,0.1,False,False,l2,1.0,0.728307254623
20,0.1,False,False,l2,10.0,0.706011575345
20,0.1,False,True,None,0.001,0.705855401814
20,0.1,False,True,None,0.01,0.704339320647
20,0.1,False,True,None,0.1,0.687135400675
20,0.1,False,True,None,1.0,0.620868812238
20,0.1,False,True,None,10.0,0.478742650384
20,0.3,True,False,None,0.001,0.777240113466
20,0.3,True,False,None,0.01,0.764491080797
20,0.3,True,False,None,0.1,0.751921198998
20,0.3,True,False,None,1.0,0.745287042566
20,0.3,True,False,None,10.0,0.744517450294
20,0.3,True,False,l2,0.001,0.772982158029
20,0.3,True,False,l2,0.01,0.776336494705
20,0.3,True,False,l2,0.1,0.799482103329
20,0.3,True,False,l2,1.0,0.7965053985
20,0.3,True,False,l2,10.0,0.775856389987
20,0.3,False,False,None,0.001,0.7831196123
20,0.3,False,False,None,0.01,0.759082217973
20,0.3,False,False,None,0.1,0.737050565506
20,0.3,False,False,None,1.0,0.705062362436
20,0.3,False,False,None,10.0,0.68995755399
20,0.3,False,False,l2,0.001,0.768808114962
20,0.3,False,False,l2,0.01,0.775915789474
20,0.3,False,False,l2,0.1,0.796916445623
20,0.3,False,False,l2,1.0,0.793534287246
20,0.3,False,False,l2,10.0,0.775484884827
20,0.3,False,True,None,0.001,0.796472932299
20,0.3,False,True,None,0.01,0.775590383055
20,0.3,False,True,None,0.1,0.751211072664
20,0.3,False,True,None,1.0,0.725161866488
20,0.3,False,True,None,10.0,0.715386009424
20,0.5,True,False,None,0.001,0.802319365053
20,0.5,True,False,None,0.01,0.792718586549
20,0.5,True,False,None,0.1,0.784411483651
20,0.5,True,False,None,1.0,0.781601533206
20,0.5,True,False,None,10.0,0.781572809064
20,0.5,True,False,l2,0.001,0.785918011153
20,0.5,True,False,l2,0.01,0.798570527643
20,0.5,True,False,l2,0.1,0.821316355217
20,0.5,True,False,l2,1.0,0.815033403008
20,0.5,True,False,l2,10.0,0.79717407377
20,0.5,False,False,None,0.001,0.806086519115
20,0.5,False,False,None,0.01,0.78274254928
20,0.5,False,False,None,0.1,0.76186337563
20,0.5,False,False,None,1.0,0.736955545577
20,0.5,False,False,None,10.0,0.728924418605
20,0.5,False,False,l2,0.001,0.770857022531
20,0.5,False,False,l2,0.01,0.786541005291
20,0.5,False,False,l2,0.1,0.809735973597
20,0.5,False,False,l2,1.0,0.808360635342
20,0.5,False,False,l2,10.0,0.792399366614
20,0.5,False,True,None,0.001,0.813198823035
20,0.5,False,True,None,0.01,0.797148521534
20,0.5,False,True,None,0.1,0.773176893761
20,0.5,False,True,None,1.0,0.75852719958
20,0.5,False,True,None,10.0,0.75229519774
20,0.7,True,False,None,0.001,0.806822852446
20,0.7,True,False,None,0.01,0.797162418543
20,0.7,True,False,None,0.1,0.791267173038
20,0.7,True,False,None,1.0,0.789386125437
20,0.7,True,False,None,10.0,0.789151865563
20,0.7,True,False,l2,0.001,0.78796941086
20,0.7,True,False,l2,0.01,0.803372200319
20,0.7,True,False,l2,0.1,0.828034442789
20,0.7,True,False,l2,1.0,0.82211005786
20,0.7,True,False,l2,10.0,0.801316601522
20,0.7,False,False,None,0.001,0.809861505089
20,0.7,False,False,None,0.01,0.788461538462
20,0.7,False,False,None,0.1,0.772601555748
20,0.7,False,False,None,1.0,0.754425662186
20,0.7,False,False,None,10.0,0.74815576519
20,0.7,False,False,l2,0.001,0.756021390374
20,0.7,False,False,l2,0.01,0.77865135821
20,0.7,False,False,l2,0.1,0.809025912303
20,0.7,False,False,l2,1.0,0.810511410961
20,0.7,False,False,l2,10.0,0.798281829935
20,0.7,False,True,None,0.001,0.813248707494
20,0.7,False,True,None,0.01,0.801588960903
20,0.7,False,True,None,0.1,0.781761991448
20,0.7,False,True,None,1.0,0.7684192321
20,0.7,False,True,None,10.0,0.763957843393
